stx_ident,count
stx/stx/2017-01-19 13_00_00.npz,3
stx/stx/2017-06-25 12_30_00.npz,2
stx/stx/2017-10-22 19_00_00.npz,4
stx/stx/2017-09-24 20_00_00.npz,8
stx/stx/2017-05-22 03_00_00.npz,4
stx/stx/2017-06-03 21_30_00.npz,1
stx/stx/2017-08-06 14_00_00.npz,11
stx/stx/2017-06-29 12_00_00.npz,8
stx/stx/2017-04-18 13_30_00.npz,2
stx/stx/2017-09-26 11_30_00.npz,12
stx/stx/2017-12-19 00_30_00.npz,10
stx/stx/2017-01-17 02_00_00.npz,17
stx/stx/2017-11-16 14_30_00.npz,11
stx/stx/2017-07-22 16_00_00.npz,3
stx/stx/2017-07-28 21_00_00.npz,6
stx/stx/2017-04-02 12_30_00.npz,3
stx/stx/2017-01-19 16_00_00.npz,4
stx/stx/2017-07-04 22_30_00.npz,6
stx/stx/2017-03-13 09_30_00.npz,2
stx/stx/2017-09-28 23_30_00.npz,11
stx/stx/2017-08-13 19_30_00.npz,3
stx/stx/2017-07-21 21_30_00.npz,1
stx/stx/2017-07-22 20_30_00.npz,2
stx/stx/2017-08-30 18_00_00.npz,5
stx/stx/2017-06-22 21_30_00.npz,7
stx/stx/2017-02-21 02_00_00.npz,2
stx/stx/2017-10-15 10_00_00.npz,5
stx/stx/2017-03-24 12_00_00.npz,6
stx/stx/2017-04-18 21_00_00.npz,1
stx/stx/2017-04-18 03_00_00.npz,5
stx/stx/2017-08-01 12_00_00.npz,1
stx/stx/2017-06-03 03_00_00.npz,4
stx/stx/2017-06-04 11_00_00.npz,1
stx/stx/2017-03-07 13_00_00.npz,20
stx/stx/2017-06-23 22_00_00.npz,5
stx/stx/2017-07-18 19_00_00.npz,1
stx/stx/2017-05-28 13_00_00.npz,16
stx/stx/2017-09-25 23_00_00.npz,5
stx/stx/2017-04-29 10_00_00.npz,5
stx/stx/2017-04-18 04_30_00.npz,1
stx/stx/2017-03-24 22_00_00.npz,10
stx/stx/2017-08-14 00_00_00.npz,1
stx/stx/2017-09-20 21_00_00.npz,7
stx/stx/2017-07-06 14_00_00.npz,1
stx/stx/2017-06-05 20_00_00.npz,11
stx/stx/2017-05-20 01_30_00.npz,2
stx/stx/2017-05-19 03_00_00.npz,3
stx/stx/2017-07-13 01_00_00.npz,3
stx/stx/2017-03-24 19_00_00.npz,5
stx/stx/2017-11-08 21_30_00.npz,8
stx/stx/2017-06-19 17_00_00.npz,5
stx/stx/2017-09-26 14_30_00.npz,2
stx/stx/2017-08-02 01_00_00.npz,8
stx/stx/2017-07-05 09_00_00.npz,2
stx/stx/2017-07-10 04_00_00.npz,1
stx/stx/2017-05-17 02_00_00.npz,2
stx/stx/2017-06-06 21_30_00.npz,7
stx/stx/2017-08-23 08_00_00.npz,1
stx/stx/2017-08-18 18_30_00.npz,5
stx/stx/2017-07-08 13_00_00.npz,8
stx/stx/2017-08-13 07_30_00.npz,1
stx/stx/2017-07-07 01_00_00.npz,9
stx/stx/2017-05-31 16_00_00.npz,11
stx/stx/2017-07-10 16_30_00.npz,2
stx/stx/2017-05-23 16_00_00.npz,2
stx/stx/2017-10-10 08_00_00.npz,1
stx/stx/2017-03-06 00_00_00.npz,3
stx/stx/2017-06-19 15_00_00.npz,2
stx/stx/2017-07-13 23_30_00.npz,2
stx/stx/2017-08-31 04_00_00.npz,3
stx/stx/2017-01-14 04_00_00.npz,6
stx/stx/2017-07-16 20_00_00.npz,3
stx/stx/2017-03-10 04_00_00.npz,1
stx/stx/2017-09-27 17_00_00.npz,1
stx/stx/2017-03-12 03_30_00.npz,5
stx/stx/2017-08-01 18_30_00.npz,4
stx/stx/2017-01-16 13_30_00.npz,3
stx/stx/2017-06-23 00_00_00.npz,5
stx/stx/2017-08-12 02_00_00.npz,4
stx/stx/2017-08-06 09_00_00.npz,1
stx/stx/2017-04-21 19_30_00.npz,7
stx/stx/2017-05-10 00_00_00.npz,1
stx/stx/2017-04-13 13_30_00.npz,12
stx/stx/2017-04-10 20_30_00.npz,4
stx/stx/2017-09-25 00_00_00.npz,4
stx/stx/2017-09-28 15_00_00.npz,2
stx/stx/2017-08-17 17_30_00.npz,3
stx/stx/2017-07-01 15_30_00.npz,1
stx/stx/2017-02-20 11_00_00.npz,2
stx/stx/2017-05-29 15_30_00.npz,4
stx/stx/2017-09-30 00_00_00.npz,17
stx/stx/2017-05-03 22_30_00.npz,8
stx/stx/2017-03-06 19_00_00.npz,1
stx/stx/2017-01-17 00_30_00.npz,1
stx/stx/2017-10-20 15_00_00.npz,3
stx/stx/2017-07-01 08_30_00.npz,1
stx/stx/2017-01-14 23_30_00.npz,7
stx/stx/2017-09-25 20_00_00.npz,6
stx/stx/2017-12-06 05_30_00.npz,3
stx/stx/2017-03-29 10_00_00.npz,1
stx/stx/2017-08-30 09_30_00.npz,6
stx/stx/2017-09-21 01_30_00.npz,6
stx/stx/2017-04-11 18_00_00.npz,7
stx/stx/2017-12-05 09_30_00.npz,1
stx/stx/2017-08-08 16_00_00.npz,5
stx/stx/2017-08-06 01_00_00.npz,10
stx/stx/2017-12-22 13_30_00.npz,4
stx/stx/2017-08-09 03_00_00.npz,9
stx/stx/2017-01-19 14_30_00.npz,3
stx/stx/2017-05-21 00_30_00.npz,8
stx/stx/2017-03-24 23_30_00.npz,2
stx/stx/2017-12-28 01_00_00.npz,6
stx/stx/2017-01-13 19_30_00.npz,4
stx/stx/2017-05-30 19_30_00.npz,9
stx/stx/2017-04-02 12_00_00.npz,8
stx/stx/2017-03-07 19_00_00.npz,16
stx/stx/2017-08-22 12_30_00.npz,5
stx/stx/2017-05-21 02_30_00.npz,3
stx/stx/2017-07-08 19_00_00.npz,6
stx/stx/2017-03-11 21_00_00.npz,8
stx/stx/2017-04-29 17_30_00.npz,4
stx/stx/2017-07-26 03_00_00.npz,1
stx/stx/2017-07-14 22_30_00.npz,9
stx/stx/2017-03-11 20_00_00.npz,6
stx/stx/2017-08-09 16_30_00.npz,4
stx/stx/2017-03-09 23_30_00.npz,6
stx/stx/2017-07-08 23_00_00.npz,2
stx/stx/2017-09-02 23_30_00.npz,2
stx/stx/2017-06-30 23_30_00.npz,2
stx/stx/2017-03-11 01_30_00.npz,8
stx/stx/2017-06-22 02_00_00.npz,4
